seq,ms,raw_freq_hz,tracked_freq_hz,raw_confidence,tracked_confidence,envelope,attack,gate,pitch_valid,onset,input_peak,input_rms,filtered_peak,filtered_rms,c1_freq,c1_score,c2_freq,c2_score,c3_freq,c3_score,c4_freq,c4_score
11539,123114, 41.52, 41.46, 0.999, 0.999, 0.572004, 0.237658,1,1,0, 0.707541, 0.394565, 0.630353, 0.369542, 41.52, 0.999, 83.91, 0.908, 0.00, 0.000, 0.00, 0.000
11540,123125, 41.37, 41.42, 0.999, 0.999, 0.540268, 0.166546,1,1,0, 0.707601, 0.365995, 0.618549, 0.324571, 41.37, 0.999, 82.19, 0.902, 0.00, 0.000, 0.00, 0.000
11541,123136, 41.37, 41.40, 0.998, 0.999, 0.550651, 0.199951,1,1,0, 0.658283, 0.431071, 0.620831, 0.384421, 41.37, 0.998, 83.91, 0.896, 0.00, 0.000, 0.00, 0.000
11542,123146, 41.52, 41.45, 0.999, 0.999, 0.545190, 0.141952,1,1,0, 0.674879, 0.401003, 0.610936, 0.372245, 41.52, 0.999, 81.63, 0.900, 0.00, 0.000, 0.00, 0.000
11543,123157, 41.37, 41.42, 0.999, 0.999, 0.563957, 0.219547,1,1,0, 0.671921, 0.430681, 0.618882, 0.390616, 41.37, 0.999, 83.91, 0.908, 0.00, 0.000, 0.00, 0.000
11544,123168, 41.37, 41.40, 0.999, 0.999, 0.552369, 0.153854,1,1,0, 0.672244, 0.372722, 0.605225, 0.337915, 41.37, 0.999, 82.19, 0.909, 0.00, 0.000, 0.00, 0.000
11545,123178, 41.52, 41.45, 0.999, 0.999, 0.540680, 0.183463,1,1,0, 0.672850, 0.385506, 0.593151, 0.353915, 41.52, 0.999, 83.33, 0.905, 0.00, 0.000, 0.00, 0.000
11546,123189, 41.52, 41.48, 0.999, 0.999, 0.560939, 0.173234,1,1,0, 0.656576, 0.443001, 0.626320, 0.380845, 41.52, 0.999, 82.75, 0.900, 0.00, 0.000, 0.00, 0.000
11547,123200, 41.37, 41.43, 0.999, 0.999, 0.550449, 0.162005,1,1,0, 0.685582, 0.370576, 0.590076, 0.355084, 41.37, 0.999, 82.19, 0.892, 0.00, 0.000, 0.00, 0.000
11548,123210, 41.37, 41.41, 0.999, 0.999, 0.554894, 0.185406,1,1,0, 0.609906, 0.383295, 0.630113, 0.355637, 41.37, 0.999, 83.91, 0.880, 0.00, 0.000, 0.00, 0.000
11549,123221, 41.37, 41.39, 0.999, 0.999, 0.528508, 0.129928,1,1,0, 0.623167, 0.373330, 0.589299, 0.328308, 41.37, 0.999, 82.19, 0.871, 0.00, 0.000, 0.00, 0.000
11550,123232, 41.37, 41.39, 0.999, 0.999, 0.558139, 0.196583,1,1,0, 0.687892, 0.445770, 0.626545, 0.398539, 41.37, 0.999, 84.50, 0.863, 0.00, 0.000, 0.00, 0.000
11551,123242, 41.37, 41.38, 0.999, 0.999, 0.538731, 0.137761,1,1,0, 0.614826, 0.376077, 0.583134, 0.357348, 41.37, 0.999, 81.63, 0.876, 0.00, 0.000, 0.00, 0.000
11552,123253, 41.52, 41.44, 0.999, 0.999, 0.571334, 0.230409,1,1,0, 0.681105, 0.436927, 0.629875, 0.400357, 41.52, 0.999, 83.91, 0.887, 0.00, 0.000, 0.00, 0.000
11553,123264, 41.37, 41.41, 0.999, 0.999, 0.538727, 0.161466,1,1,0, 0.596850, 0.363718, 0.568961, 0.311947, 41.37, 0.999, 81.63, 0.880, 0.00, 0.000, 0.00, 0.000
11554,123274, 41.37, 41.40, 0.999, 0.999, 0.545172, 0.200160,1,1,0, 0.690043, 0.397488, 0.603098, 0.362611, 41.37, 0.999, 83.33, 0.876, 0.00, 0.000, 0.00, 0.000
11555,123285, 41.52, 41.45, 0.999, 0.999, 0.546061, 0.157057,1,1,0, 0.573226, 0.426978, 0.622590, 0.387707, 41.52, 0.999, 83.33, 0.871, 0.00, 0.000, 0.00, 0.000
11556,123296, 41.37, 41.42, 0.999, 0.999, 0.555699, 0.234952,1,1,0, 0.697504, 0.363409, 0.607611, 0.342080, 41.37, 0.999, 82.19, 0.862, 0.00, 0.000, 0.00, 0.000
11557,123306, 41.37, 41.40, 0.999, 0.999, 0.544945, 0.164650,1,1,0, 0.688900, 0.393155, 0.614639, 0.352305, 41.37, 0.999, 83.91, 0.857, 0.00, 0.000, 0.00, 0.000
11558,123317, 41.37, 41.39, 0.999, 0.999, 0.516378, 0.115383,1,1,0, 0.573330, 0.381310, 0.551914, 0.341394, 41.37, 0.999, 81.63, 0.849, 0.00, 0.000, 0.00, 0.000
11559,123328, 41.52, 41.44, 0.999, 0.999, 0.548362, 0.173343,1,1,0, 0.687635, 0.447484, 0.601398, 0.403114, 41.52, 0.999, 84.50, 0.844, 0.00, 0.000, 0.00, 0.000
